カード名,収録商品,カードタイプ,カード番号,カード効果
エネルギー(無地),スタートデッキ ラブライブ！,エネルギー,LL-E-001-SD,効果なし
高坂 穂乃果,スタートデッキ ラブライブ！,メンバー,PL!-sd1-001-SD,自分の成功ライブカード置き場にカードが2枚以上ある場合、自分の控え室からライブカードを1枚手札に加える。\n自分の成功ライブカード置き場にあるカード1枚につき、を得る。
絢瀬 絵里,スタートデッキ ラブライブ！,メンバー,PL!-sd1-002-SD,このメンバーをステージから控え室に置く：自分の控え室からメンバーカードを1枚手札に加える。
南 ことり,スタートデッキ ラブライブ！,メンバー,PL!-sd1-003-SD,自分の控え室からコスト4以下の『μ's』のメンバーカードを1枚手札に加える。\n手札を1枚控え室に置いてもよい：かかのうち、1つを選ぶ。ライブ終了時まで、選んだハートを1つ得る。
園田 海未,スタートデッキ ラブライブ！,メンバー,PL!-sd1-004-SD,自分のデッキの上からカードを5枚見る。その中から『μ's』のライブカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
星空 凛,スタートデッキ ラブライブ！,メンバー,PL!-sd1-005-SD,このメンバーをステージから控え室に置く：自分の控え室からライブカードを1枚手札に加える。
西木野 真姫,スタートデッキ ラブライブ！,メンバー,PL!-sd1-006-SD,手札のライブカードを1枚公開してもよい：自分の成功ライブカード置き場にあるカードを1枚手札に加える。そうした場合、これにより公開したカードを自分の成功ライブカード置き場に置く。
東條 希,スタートデッキ ラブライブ！,メンバー,PL!-sd1-007-SD,自分のデッキの上からカードを5枚控え室に置く。それらの中にライブカードがある場合、カードを1枚引く。
小泉 花陽,スタートデッキ ラブライブ！,メンバー,PL!-sd1-008-SD,：自分のデッキの上からカードを10枚控え室に置く。
矢澤 にこ,スタートデッキ ラブライブ！,メンバー,PL!-sd1-009-SD,自分の控え室に『μ's』のカードが25枚以上ある場合、ライブ終了時まで、「ライブの合計スコアを＋１する。」を得る。
高坂 穂乃果,スタートデッキ ラブライブ！,メンバー,PL!-sd1-010-SD,効果なし
絢瀬 絵里,スタートデッキ ラブライブ！,メンバー,PL!-sd1-011-SD,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
南 ことり,スタートデッキ ラブライブ！,メンバー,PL!-sd1-012-SD,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
園田 海未,スタートデッキ ラブライブ！,メンバー,PL!-sd1-013-SD,効果なし
星空 凛,スタートデッキ ラブライブ！,メンバー,PL!-sd1-014-SD,効果なし
西木野 真姫,スタートデッキ ラブライブ！,メンバー,PL!-sd1-015-SD,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを5枚見る。その中からメンバーカードを1枚公開して手札に加えてもよい。残りを控え室に置く。
東條 希,スタートデッキ ラブライブ！,メンバー,PL!-sd1-016-SD,手札を1枚控え室に置いてもよい：自分のデッキの上からカードを3枚見る。その中から1枚を手札に加え、残りを控え室に置く。
小泉 花陽,スタートデッキ ラブライブ！,メンバー,PL!-sd1-017-SD,効果なし
矢澤 にこ,スタートデッキ ラブライブ！,メンバー,PL!-sd1-018-SD,効果なし
START:DASH!!,スタートデッキ ラブライブ！,ライブ,PL!-sd1-019-SD,自分のデッキの上からカードを3枚見る。その中から好きな枚数を好きな順番でデッキの上に置き、残りを控え室に置く。
きっと青春が聞こえる,スタートデッキ ラブライブ！,ライブ,PL!-sd1-020-SD,効果なし
これからのSomeday,スタートデッキ ラブライブ！,ライブ,PL!-sd1-021-SD,効果なし
僕らは今のなかで,スタートデッキ ラブライブ！,ライブ,PL!-sd1-022-SD,自分の成功ライブカード置き場にあるカード1枚につき、このカードを成功させるための必要ハートは少なくなる。
高坂 穂乃果,スタートデッキ ラブライブ！,エネルギー,PL!-sd1-023-P,効果なし
絢瀬 絵里,スタートデッキ ラブライブ！,エネルギー,PL!-sd1-024-P,効果なし
南 ことり,スタートデッキ ラブライブ！,エネルギー,PL!-sd1-025-P,効果なし
園田 海未,スタートデッキ ラブライブ！,エネルギー,PL!-sd1-026-P,効果なし
星空 凛,スタートデッキ ラブライブ！,エネルギー,PL!-sd1-027-P,効果なし
西木野 真姫,スタートデッキ ラブライブ！,エネルギー,PL!-sd1-028-P,効果なし
東條 希,スタートデッキ ラブライブ！,エネルギー,PL!-sd1-029-P,効果なし
小泉 花陽,スタートデッキ ラブライブ！,エネルギー,PL!-sd1-030-P,効果なし
矢澤 にこ,スタートデッキ ラブライブ！,エネルギー,PL!-sd1-031-P,効果なし
高海千歌,プレミアムブースター ラブライブ！サンシャイン!!,メンバー,PL!S-pb1-001-R,相手の手札の枚数が自分より2枚以上多い場合、自分の控え室からライブカードを1枚手札に加える。
